line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,10,10,0,3,28,25,38,0,0,10
1,46,39,1,15,82,91,32,0,8,46
2,28,26,1,8,42,51,15,1,3,28
3,9,7,0,2,14,17,0,0,2,9
4,91,64,9,36,121,99,13,0,36,91
5,25,22,0,11,42,31,19,0,3,25
6,12,11,0,4,22,25,7,0,1,12
7,19,18,1,11,36,26,13,0,2,19
8,9,8,0,5,20,11,5,0,1,9
9,19,16,2,11,39,25,4,0,5,19
10,3,3,0,1,9,8,2,0,0,3
11,60,51,3,27,123,82,30,1,12,60
12,45,41,2,18,97,76,14,2,6,45
13,22,21,0,11,54,28,24,0,1,22
14,20,18,0,9,49,42,9,0,2,20
15,15,12,0,6,27,21,8,0,3,15
16,3,2,0,0,4,6,0,0,1,3
17,65,56,2,23,105,93,32,0,11,65
18,18,16,2,8,32,26,4,0,4,18
19,31,28,3,10,44,48,4,0,6,31
20,10,9,0,3,20,16,3,0,1,10
21,11,8,1,5,18,11,0,0,4,11
22,23,20,0,9,43,30,16,0,3,23
23,22,19,1,5,33,30,3,1,4,22
24,31,27,4,18,43,35,5,2,8,31
25,9,8,0,3,13,16,1,1,1,9
26,57,49,1,15,89,78,25,1,9,57
27,35,25,1,11,48,41,10,1,11,35
28,27,21,1,12,43,37,3,0,7,27
29,21,15,2,6,29,28,6,0,8,21
30,23,21,1,8,42,36,5,1,3,23
31,22,20,0,7,46,27,23,0,2,22
32,26,23,0,9,44,38,19,1,3,26
33,5,5,0,2,10,4,7,0,0,5
34,46,39,0,21,89,61,36,0,7,46
35,73,65,1,27,141,115,26,0,9,73
36,44,38,2,19,76,62,11,1,8,44
37,37,28,0,10,55,46,17,0,9,37
38,35,24,1,10,56,46,8,1,12,35
39,54,43,4,23,93,68,17,0,15,54
40,9,8,0,2,17,16,4,0,1,9
41,49,38,2,20,93,67,24,2,13,49
42,24,22,0,10,65,36,55,0,2,24
43,40,29,1,16,78,37,43,0,12,40
44,9,6,0,4,14,9,0,0,3,9
45,18,14,0,9,31,20,1,1,4,18
46,1,1,0,0,2,0,4,0,0,1
47,45,40,2,19,74,62,14,1,7,45
48,37,32,2,14,63,57,11,0,7,37
49,40,34,1,19,71,42,22,1,7,40
50,26,23,2,10,40,42,7,0,5,26
51,18,14,0,6,25,28,3,1,4,18
52,1,1,0,0,3,9,0,0,0,1
53,34,29,3,16,65,44,10,1,8,34
54,36,33,0,15,61,41,30,3,3,36
55,23,19,0,5,38,30,17,0,4,23
56,1,1,0,0,4,4,0,0,0,1
57,37,32,0,16,59,43,17,2,5,37
58,22,19,1,10,38,27,19,0,4,22
59,6,5,0,2,10,11,1,0,1,6
