line,words,marked_words,word_ax,word_p50,mark_hit,mark_wrong,mark_missed,mark_extra,der_collapse_ok,der_words
0,10,10,0,3,19,18,8,0,0,10
1,54,47,2,27,88,65,18,2,9,54
2,7,6,2,5,14,7,0,0,3,7
3,49,45,3,28,88,72,6,0,7,49
4,114,94,4,49,179,158,29,2,24,114
5,39,34,4,21,60,36,18,2,9,39
6,121,102,5,57,185,144,40,2,24,121
7,169,144,2,76,303,209,74,3,27,169
8,130,117,7,57,224,174,40,2,20,130
9,95,85,5,54,171,125,29,1,15,95
10,49,43,5,20,86,57,28,1,11,49
11,6,6,0,4,13,9,1,0,0,6
12,50,45,2,27,74,66,10,2,7,50
13,40,36,1,18,55,48,13,2,5,40
14,20,19,0,7,29,35,6,0,1,20
15,71,65,6,37,109,65,36,7,12,71
16,44,39,6,18,65,60,5,0,11,44
17,33,29,3,13,60,33,30,1,6,33
18,8,8,2,6,17,10,0,0,2,8
19,49,42,5,21,80,56,11,0,12,49
20,41,39,2,24,72,48,16,0,4,41
21,83,76,3,44,145,91,43,1,10,83
22,49,40,2,17,70,62,21,0,11,49
23,8,8,0,5,16,14,2,0,0,8
24,60,56,3,27,96,77,23,2,7,60
25,110,100,10,54,166,109,52,2,20,110
26,57,51,2,28,91,63,25,1,8,57
27,7,7,0,1,13,12,3,0,0,7
28,127,115,5,56,196,162,48,3,17,127
29,13,10,0,5,23,20,0,0,3,13
30,89,80,4,49,170,117,13,0,13,89
31,61,53,2,33,125,75,18,0,10,61
32,39,33,0,20,66,39,15,0,6,39
33,31,29,2,19,65,43,8,1,4,31
34,23,20,0,3,32,45,4,0,3,23
35,10,10,0,4,17,16,6,0,0,10
36,78,74,3,35,130,112,21,0,7,78
37,78,68,4,44,124,87,15,2,14,78
38,25,21,0,8,35,34,11,1,4,25
39,39,31,2,13,46,50,9,0,10,39
40,53,47,1,23,80,60,22,0,7,53
41,54,44,2,22,68,58,11,1,12,54
42,7,7,0,1,10,13,1,0,0,7
43,85,78,3,31,127,120,27,1,10,85
44,230,208,6,92,374,294,97,4,28,230
45,107,92,5,44,177,140,45,0,20,107
46,43,40,1,19,71,59,20,0,4,43
47,9,9,0,5,18,14,1,0,0,9
48,68,63,1,32,112,90,15,1,6,68
49,69,59,1,33,112,85,19,1,11,69
50,77,65,5,42,128,79,32,0,17,77
51,30,28,0,15,49,45,6,0,2,30
52,31,29,0,20,55,36,14,0,2,31
53,37,34,4,20,62,46,14,0,7,37
54,9,8,1,4,12,8,4,0,2,9
55,58,54,3,29,90,77,20,0,7,58
56,25,22,0,7,37,35,8,0,3,25
57,46,43,2,27,77,48,23,1,5,46
58,34,32,0,14,52,31,26,0,2,34
59,11,11,0,4,17,12,14,0,0,11
60,37,31,1,13,62,37,28,0,7,37
61,79,67,5,24,108,99,32,1,17,79
62,59,44,0,22,74,50,31,0,15,59
63,24,22,2,13,39,22,8,3,4,24
64,31,26,0,11,45,39,12,2,5,31
65,26,25,1,13,41,33,12,0,2,26
66,34,29,1,16,44,41,15,2,6,34
67,40,35,0,19,60,48,14,0,5,40
68,30,26,3,14,42,28,10,0,7,30
69,26,22,1,14,39,30,3,0,5,26
70,19,14,0,11,22,14,9,1,5,19
71,37,36,1,18,61,50,16,0,2,37
72,87,74,6,39,125,95,26,2,19,87
73,17,16,1,9,22,22,4,0,2,17
74,10,10,1,2,10,13,5,0,1,10
75,65,61,2,27,102,87,32,0,6,65
76,51,45,0,28,101,65,28,0,6,51
77,66,60,2,32,100,79,28,0,8,66
78,36,32,0,12,51,45,24,0,4,36
79,69,64,1,26,105,97,30,0,6,69
80,6,6,0,0,8,10,7,0,0,6
81,52,47,0,20,73,61,21,2,5,52
82,47,43,1,21,65,56,10,0,5,47
83,45,42,2,19,74,59,15,1,5,45
84,8,8,0,7,20,7,6,0,0,8
85,40,36,3,15,61,56,11,0,7,40
86,66,60,1,25,98,92,19,0,7,66
87,80,69,1,33,120,88,42,2,12,80
88,57,47,1,24,84,66,18,0,11,57
89,8,8,1,5,16,12,4,0,1,8
90,25,24,1,14,43,29,11,1,2,25
91,29,28,0,13,45,36,14,0,1,29
92,28,27,3,16,47,36,8,1,4,28
93,20,19,1,10,34,26,6,2,2,20
94,8,8,1,5,16,15,1,0,1,8
95,58,50,5,22,88,66,40,0,13,58
96,30,23,2,9,35,31,9,1,9,30
97,55,45,5,27,70,54,15,3,15,55
98,34,31,2,15,63,41,19,0,5,34
99,11,11,0,6,22,17,5,0,0,11
100,58,51,1,30,107,74,18,0,8,58
101,22,19,2,11,36,17,12,0,5,22
102,32,23,1,12,42,33,7,0,10,32
103,49,46,3,24,89,58,23,0,6,49
104,7,7,0,3,13,12,4,0,0,7
105,46,39,2,17,68,54,15,0,9,46
106,45,43,2,19,76,61,22,0,4,45
107,46,42,1,21,77,50,26,0,5,46
108,9,9,1,5,15,11,2,0,1,9
109,33,32,1,11,53,53,12,0,2,33
110,33,32,1,17,52,44,15,0,2,33
111,44,42,3,24,71,52,14,2,5,44
112,25,22,2,9,33,38,5,0,5,25
113,10,10,1,4,16,14,3,0,1,10
114,45,42,3,21,73,56,25,0,6,45
115,36,32,0,14,64,51,17,0,4,36
116,9,9,0,5,20,12,4,1,0,9
117,179,161,13,87,305,199,72,3,31,179
118,7,7,0,2,11,16,0,0,0,7
119,19,17,1,10,31,22,6,0,3,19
120,23,21,1,7,34,40,3,0,3,23
121,67,59,5,27,97,86,21,0,13,67
122,44,38,3,16,64,48,22,0,9,44
123,30,26,1,13,40,38,10,0,5,30
124,29,25,0,17,50,33,5,0,4,29
125,23,20,2,11,37,22,9,1,5,23
126,50,44,7,28,82,52,9,1,13,50
127,9,9,0,4,19,15,3,0,0,9
128,183,170,5,90,281,236,60,4,18,183
129,62,52,4,26,90,70,18,0,14,62
130,161,140,3,67,224,198,55,2,24,161
131,44,38,2,17,63,50,24,0,8,44
132,25,22,1,14,45,28,7,1,4,25
133,39,38,1,22,61,49,11,1,2,39
134,16,15,1,6,26,17,14,0,2,16
135,33,27,1,10,36,43,5,1,7,33
136,7,7,0,3,11,15,1,0,0,7
137,82,66,1,29,110,99,35,0,17,82
138,66,57,3,38,105,71,19,0,12,66
139,30,26,3,16,42,31,9,1,7,30
140,60,54,1,23,79,83,13,1,7,60
141,10,10,1,8,19,9,6,0,1,10
142,122,118,5,57,228,145,71,1,9,122
143,98,81,6,48,138,112,14,2,23,98
144,79,76,2,32,122,106,34,0,5,79
145,106,99,8,54,161,133,43,2,15,106
146,56,53,3,25,88,69,19,0,6,56
147,43,42,1,16,76,76,18,0,2,43
148,7,7,0,1,8,9,7,1,0,7
149,152,131,7,58,227,199,59,3,28,152
150,129,113,4,47,192,171,50,2,20,129
151,67,61,0,22,106,104,30,0,6,67
152,8,8,0,3,18,12,6,0,0,8
153,142,124,8,64,230,153,67,1,26,142
154,12,12,0,3,22,22,8,0,0,12
155,20,19,1,11,42,29,8,0,2,20
156,28,27,2,15,58,32,14,0,3,28
157,37,31,0,16,62,41,15,1,6,37
158,14,13,1,5,17,21,2,0,2,14
159,98,92,6,48,157,129,42,0,12,98
160,83,78,4,32,124,130,22,0,9,83
161,10,9,0,3,12,12,6,0,1,10
162,39,32,1,17,57,45,12,1,8,39
